SubsetID,Image1,Image2
1,hk_105_90.jpg,hk_14_0.jpg
1,hk_105_90.jpg,hk_17_180.jpg
1,hk_105_90.jpg,hk_57_90.jpg
1,hk_105_90.jpg,hk_78_180.jpg
1,hk_105_90.jpg,hk_92_0.jpg
1,hk_14_0.jpg,hk_17_180.jpg
1,hk_14_0.jpg,hk_57_90.jpg
1,hk_14_0.jpg,hk_78_180.jpg
1,hk_14_0.jpg,hk_92_0.jpg
1,hk_17_180.jpg,hk_57_90.jpg
1,hk_17_180.jpg,hk_78_180.jpg
1,hk_17_180.jpg,hk_92_0.jpg
1,hk_57_90.jpg,hk_78_180.jpg
1,hk_57_90.jpg,hk_92_0.jpg
1,hk_78_180.jpg,hk_92_0.jpg
2,hk_111_180.jpg,hk_29_180.jpg
2,hk_111_180.jpg,hk_2_270.jpg
2,hk_111_180.jpg,hk_71_0.jpg
2,hk_111_180.jpg,hk_77_0.jpg
2,hk_111_180.jpg,hk_94_0.jpg
2,hk_29_180.jpg,hk_2_270.jpg
2,hk_29_180.jpg,hk_71_0.jpg
2,hk_29_180.jpg,hk_77_0.jpg
2,hk_29_180.jpg,hk_94_0.jpg
2,hk_2_270.jpg,hk_71_0.jpg
2,hk_2_270.jpg,hk_77_0.jpg
2,hk_2_270.jpg,hk_94_0.jpg
2,hk_71_0.jpg,hk_77_0.jpg
2,hk_71_0.jpg,hk_94_0.jpg
2,hk_77_0.jpg,hk_94_0.jpg
3,hk_133_180.jpg,hk_150_180.jpg
3,hk_133_180.jpg,hk_24_180.jpg
3,hk_133_180.jpg,hk_4_180.jpg
3,hk_133_180.jpg,hk_68_0.jpg
3,hk_133_180.jpg,hk_71_0.jpg
3,hk_150_180.jpg,hk_24_180.jpg
3,hk_150_180.jpg,hk_4_180.jpg
3,hk_150_180.jpg,hk_68_0.jpg
3,hk_150_180.jpg,hk_71_0.jpg
3,hk_24_180.jpg,hk_4_180.jpg
3,hk_24_180.jpg,hk_68_0.jpg
3,hk_24_180.jpg,hk_71_0.jpg
3,hk_4_180.jpg,hk_68_0.jpg
3,hk_4_180.jpg,hk_71_0.jpg
